date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,TIME_idRehouse,TIME_count,TIME_paint,TIME_catalog,TIME_labels,TIME_number,LOTS_st,LOTS_tx,LOTS_uncataloged,ID_genusChange,ID_speciesChange,ID_sp,ID_rank-up,ID_rank-down,ID_new,REHOUSE_box3x1.5,REHOUSE_box3x3,REHOUSE_box3x4,REHOUSE_box3x6,REHOUSE_box4x6,REHOUSE_box6x6,REHOUSE_plastic3x3,REHOUSE_plastic6x6,REHOUSE_vial7dr,REHOUSE_vial3dr,REHOUSE_vial1dr
2018-03-30,201,03,2 of 3,"10886, 10884",Ladd,,Turonian,0.25,,0.03,0.19,0.2,0.06,16,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7,2,0
2018-03-30,201,03,3 of 3,10863,Ladd,,Turonian,0.17,,0.017,0.31,0.08,0.017,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-03-30,201,05,1 of 2,10888,Ladd,,Turonian,0.33,,0.03,0.25,0.17,0.03,20,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,7,2,1
2018-03-30,201,05,2 of 2,10887,Ladd,,Turonian,0.08,,0.017,0.03,0.03,0.017,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-03-30,201,06,1 of 3,10885,Ladd,,Turonian,0.17,,0.017,0.08,0.08,0.03,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2018-03-30,201,06,2 of 3,10884,Ladd,,Turonian,0.33,,0.03,0.2,0.15,0.08,21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,7
2018-03-30,201,06,3 of 3,10885,Ladd,,Turonian,0.6,,,0.6,0.07,,36,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
2018-04-03,201,07,1 of 3,"10957, 10959",Ladd,,Turonian,0.55,,0.13,0.32,0.08,0.03,23,2,0,0,1,0,3,2,2,0,0,0,0,0,0,0,0,5,3,4
2018-04-03,201,07,2 of 3,"10954, 10952, 10960",Ladd,,Turonian,0.6,,0.18,0.41,0.26,0.17,34,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,14,4,2
2018-04-05,201,07,3 of 3,"10946, 10955",Ladd,,Turonian,0.6,,0.1,0.26,0.17,0.08,26,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,10,2,2
2018-04-05,201,08,1 of 2,"21529, 21532, 15295",Ladd,,Turonian,0.5,,0.08,0.19,0.17,0.04,22,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,8,0,2
2018-04-04,201,08,2 of 2,"17541, 17580",Ladd,,Turonian,0.55,,0.016,0.25,0.24,0.08,34,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0
2017-09-06,201,09,1 of 4,22323,Ladd,Baker Canyon,Turonian,1.0,0.75,0.25,0.75,0.3,0.25,27,3,0,0,0,0,0,0,3,1,2,1,2,0,0,2,0,8,3,3
2017-09-07,201,09,2 of 4,22323,Ladd,Baker Canyon,Turonian,1.25,0.5,0.25,0.25,0.3,0.25,14,4,0,0,0,0,1,0,0,3,2,0,1,1,3,1,0,5,0,0
2017-09-07,201,09,3 of 4,22323,Ladd,Baker Canyon,Turonian,1.5,0.25,0.25,0.5,0.3,0.25,19,2,0,2,3,0,4,0,4,2,3,1,1,0,2,0,0,8,2,1
2017-09-08,201,09,4 of 4,22323,Ladd,Baker Canyon,Turonian,0.25,0.076,0.07,0.7,,0.14,2,3,0,2,3,0,4,0,4,2,3,1,1,0,2,0,0,8,2,1
