date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,minutesTotal,minutesPerIDRehouse,minutesPerCount,minutesPerPaint,minutesPerCatalog,minutesPerLabels,minutesPerNumber,lotsProcessed,lotsRehoused,lotsIdentified,lotsReidentified
2018-09-19,224,12,3 of 4,"24219, 24247, 23296",Redding,,"Turonian, Santonian",1.51,1.2,NA,0.2,0.7,1,NA,29,17,23,1
2018-09-19,224,12,4 of 4,10824,Redding,,"Turonian, Santonian",0.86,1.8,NA,0.3,1,NA,0.3,15,12,4,5
2018-07-31,225,01,1 of 2,24246,Redding,,"Santonian, Campanian",2.75,1.5,NA,0.1,0.9,0.3,0.3,55,30,43,4
2018-08-01,225,01,2 of 2,24246,Redding,,"Santonian, Campanian",0.6920000000000001,1,NA,0.1,0.8,0.3,0.1,19,1,19,0
2018-10-17,225,02,1 of 3,"24665, 24666",Chico,,"Coniacian, Santonian, Campanian",2.36,1.3,NA,0.4,0.9,0.3,0.2,46,39,15,14
2018-10-17,225,02,2 of 3,24664,Chico,,"Coniacian, Santonian, Campanian",2.18,1.7,NA,0.4,0.9,0.3,0.4,35,25,6,11
2018-10-17,225,02,3 of 3,"24663, 24662",Chico,,"Coniacian, Santonian, Campanian",3.4699999999999998,2.6,NA,3.3,1,0.3,0.6,27,12,7,16
2018-10-24,225,03,1 of 3,24659,Chico,,Santonian,3.7399999999999998,2.1,NA,0.1,0.7,0.1,0.1,71,3,30,40
2018-10-26,225,04,1 of 2,27245,Chico,,"Santonian, Campanian",0.96,1.2,NA,NA,0.5,0.3,NA,29,0,29,0
2018-10-26,225,04,2 of 2,"27244, 27245",Chico,,"Santonian, Campanian",1.29,0.8,NA,NA,1.2,0.3,NA,34,0,34,0
2018-10-27,225,05,2 of 2,27247,Chico,,"Santonian, Campanian",0.61,0.9,NA,NA,0.5,0.2,NA,23,0,23,0
2018-11-01,225,06,1 of 3,15788,Chico,,Santonian,1.68,2.1,NA,0.1,0.9,0.3,0.1,29,8,28,0
2018-11-01,225,06,2 of 3,15788,Chico,,Santonian,0.77,1.7,NA,NA,0.5,0.4,NA,18,0,18,0
2018-11-01,225,06,3 of 3,15788,Chico,,Santonian,0.45,0.9,NA,NA,0.4,0.3,NA,16,0,16,0
2018-11-01,226,01,1 of 2,15791,Chico,,Santonian,0.47,1.5,NA,0.1,0.9,0.3,NA,10,1,10,0
2018-11-01,226,01,2 of 2,15793,Chico,,"Coniacian, Santonian",0.69,0.6,NA,0,0.6,0.3,0,26,3,26,0
2018-11-01,226,02,1 of 3,15794,Chico,,"Coniacian, Campanian",1.18,1.5,NA,NA,1.5,0.5,NA,20,0,20,0
2018-11-01,226,02,2 of 3,15794,Chico,,"Coniacian, Campanian",0.73,1.8,NA,0.1,0.6,0.3,0.1,15,3,13,0
2018-11-01,226,02,3 of 3,15794,Chico,,"Coniacian, Campanian",0.91,0.9,NA,NA,1.4,0.2,NA,22,0,22,0
2018-11-02,227,02,1 of 3,17612,Chico,,Campanian,1.3399999999999999,1.2,NA,0.7,0.5,0.3,0.1,28,5,28,0
2018-11-02,227,02,2 of 3,17611,Chico,,Campanian,0.89,2,NA,2,0.5,0.3,NA,11,0,11,0
2018-11-02,227,02,3 of 3,"17611, 17612",Chico,,Campanian,2.13,1.5,NA,0.5,0.8,0.3,0.1,39,17,17,5
2018-11-06,227,03,1 of 4,10832,Chico,,Campanian,1.6400000000000001,1.3,NA,0.7,1,0.3,NA,30,22,3,0
2018-11-06,227,03,2 of 4,10832,Chico,,Campanian,2.02,1.5,NA,0.3,0.7,0.2,NA,45,17,35,3
2018-11-06,227,03,3 of 4,10833,Chico,,Campanian,1.38,0.9,NA,0.2,0.8,0.3,0.2,35,25,2,11
2018-11-06,227,03,4 of 4,10832,Chico,,Campanian,0.75,2.7,NA,0.2,1,0.4,0.2,10,7,0,0
2018-11-07,227,04,2 of 4,24081,Chico,,"Coniacian, Santonian, Campanian",3.08,1.6,NA,0.7,1.1,NA,1.1,41,31,27,3
2018-11-07,227,04,3 of 4,24340,Chico,,"Coniacian, Santonian, Campanian",1.56,2.7,NA,0.2,0.9,0.2,0.2,22,19,17,5
2018-11-07,227,04,4 of 4,24340,Chico,,"Coniacian, Santonian, Campanian",2.44,1.9,NA,0.6,1.6,0.2,0.3,31,29,17,0
2018-11-07,227,05,1 of 4,28780,Chico,,"Coniacian, Campanian",1.01,1.3,NA,0.3,2,NA,0.4,15,10,1,8
2018-11-07,227,05,2 of 4,22406,Chico,,"Coniacian, Campanian",1.86,1.3,NA,0.6,1,0.2,0.5,31,26,23,0
2018-11-11,227,05,3 of 4,"24337, 24338",Chico,,"Coniacian, Campanian",1.81,1.2,NA,0.5,1.5,0.3,0.2,30,21,25,0
2018-11-09,227,05,4 of 4,11798,Chico,,"Coniacian, Campanian",1.9,1.2,NA,NA,0.9,0.2,NA,50,0,50,0
2018-11-13,227,06,1 of 3,27255,Chico,,Santonian,0.55,1.5,NA,NA,1.5,0.2,0.1,10,1,10,0
2018-11-13,227,06,2 of 3,26918,Chico,,Santonian,0.35,1.3,NA,NA,0.8,0.2,NA,9,0,9,0
2018-11-13,227,06,3 of 3,27255,Chico,,Santonian,1.73,1.8,NA,NA,1,1,0.4,25,10,25,0
2018-11-24,227,07,1 of 1,15764,Chico,,"Coniacian, Campanian",0.32,0.8,NA,NA,0.6,0.2,NA,12,0,12,0
2018-11-27,227,08,1 of 3,23793,Chico,,"Coniacian, Santonian, Campanian",1.58,1.5,NA,NA,1,0.5,0.2,30,25,28,0
2018-11-14,227,09,1 of 4,10855,Chico,,"Santonian, Campanian",1.92,1.6,NA,0.2,1.4,NA,0.5,32,30,3,12
2018-11-14,227,09,2 of 4,10853,Chico,,"Santonian, Campanian",1.81,1.3,NA,0.3,1.5,NA,0.5,31,23,7,10
2018-11-14,227,09,3 of 4,10854,Chico,,"Santonian, Campanian",1.23,1.3,NA,0.2,1.3,NA,0.4,23,20,4,6
2018-11-14,227,09,4 of 4,10856,Chico,,"Santonian, Campanian",2.4899999999999998,1.4,NA,0.3,2.1,NA,0.4,35,31,7,14
2018-11-21,227,10,1 of 4,10861,Chico,,"Santonian, Campanian",2.21,2.1,NA,NA,1.5,0.3,0.7,29,28,3,7
2018-11-21,227,10,2 of 4,10861,Chico,,"Santonian, Campanian",1.56,2.1,NA,NA,0.7,0.3,0.2,29,24,5,8
2018-11-21,227,10,3 of 4,10858,Chico,,"Santonian, Campanian",0.9400000000000001,1.7,NA,0.3,0.9,0.3,0.3,16,12,3,5
2018-11-21,227,10,3 of 4,10858,Chico,,"Santonian, Campanian",0.84,1.3,NA,0.3,0.9,0.3,0.3,16,12,3,5
2018-11-21,227,10,4 of 4,"10857, 1859",Chico,,"Santonian, Campanian",0.87,1.1,NA,0.3,1,0.3,0.3,18,9,0,8
2018-11-14,227,11,1 of 1,28781,,,,1.57,1.3,NA,0.2,1.5,NA,0.2,31,5,9,11
2018-11-24,227,12,1 of 4,"23631, 23633, 23634, 23632",Chico,,"Coniacian, Santonian, Campanian",1.8,1.4,NA,NA,1.1,0.2,0.2,37,32,1,12
2018-11-24,227,12,2 of 4,23635,Chico,,"Coniacian, Santonian, Campanian",3.23,1.5,NA,0.4,1,0.4,0.5,51,39,4,15
2018-11-24,227,12,3 of 4,23631,Chico,,"Coniacian, Santonian, Campanian",2.45,1.5,NA,0.4,1.1,0.4,0.4,39,31,8,15
2018-11-24,227,12,3 of 4,23631,Chico,,"Coniacian, Santonian, Campanian",2.45,1.5,NA,0.4,1.1,0.4,0.4,39,31,8,15
2018-11-24,227,12,4 of 4,"23632, 23192",Chico,,"Coniacian, Santonian, Campanian",2.63,1.7,NA,0.2,1.1,0.4,0.5,40,35,5,15
2018-12-05,228,01,1 of 2,26044,Chico,,"Coniacian, Campanian",1.21,1.6,NA,0.4,1,0.3,0.1,22,3,19,0
2018-12-05,228,01,2 of 2,26044,Chico,,"Coniacian, Campanian",0.72,1.7,NA,NA,0.8,2.2,0.1,9,2,7,0
